어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
자연숲어린이집,경기도,양평군,민간,110,15,경기도 양평군 강상면 강남로 883,031-774-6580,,9,1,6,Y,,2019-01-01
청운어린이집,경기도,양평군,국공립,52,8,경기도 양평군 청운면 용두로164번길 9-6 청운어린이집,031-775-7781,031-775-7782,6,1,8,Y,,2019-01-01
톰앤핀어린이집,경기도,양평군,민간,23,4,경기도 양평군 양평읍 물안개공원길 47,031-772-0212,031-772-0212,5,1,6,Y,,2019-01-01
평강어린이집,경기도,양평군,민간,98,17,경기도 양평군 양평읍 공산이길 12-4,031-774-1009,031-774-7732,7,1,6,Y,,2019-01-01
하얀꼬마숲어린이집,경기도,양평군,민간,49,8,경기도 양평군 강상면 강남로 714-7,031-771-5164,,4,0,6,Y,,2019-01-01
해미리어린이집,경기도,양평군,가정,16,7,경기도 양평군 양서면 양수로152번길 16 훼미리아파트 나동 114호,031-771-8512,031-771-8512,3,1,6,Y,,2019-01-01
현대아이키즈어린이집,경기도,양평군,가정,18,6,경기도 양평군 관문길 60 102동 101호(현대아파트),031-771-1824,031-771-1823,4,0,6,N,,2019-01-01
꼬마아이마당어린이집,경기도,양평군,민간,20,6,경기도 양평군 삼산길 43,031-772-6455,,3,1,6,Y,,2019-01-01
꾸러기어린이집,경기도,양평군,민간,39,6,경기도 양평군 양서면 웃능골길 17,031-774-1786,031-772-8187,4,1,6,Y,,2019-01-01
꿈터어린이집,경기도,양평군,민간,132,19,경기도 양평군 양평읍 중앙로 51,031-775-1645,031-775-1647,16,1,6,Y,,2019-01-01
단월어린이집,경기도,양평군,국공립,54,10,경기도 양평군 단월면 보룡길 80-3,031-775-8526,031-775-8527,6,1,11,Y,,2019-01-01
둘리어린이집,경기도,양평군,가정,11,1,경기도 양평군 용문면 상진길 6,031-772-6918,031-771-6916,2,0,6,N,,2019-01-01
러브아트어린이집,경기도,양평군,민간,92,17,경기도 양평군 양평읍 중앙로 14-14 러브아트어린이집,031-775-5570,031-775-5570,7,1,12,Y,,2019-01-01
미지어린이집,경기도,양평군,사회복지법인,51,9,경기도 양평군 용문역길 67 미지어린이집,031-775-7746,031-775-7715,4,1,8,Y,,2019-01-01
성원어린이집,경기도,양평군,가정,20,7,경기도 양평군 양서면 두물머리길8번길 26-3 삼익아파트101동102호,070-8745-6014,,4,0,6,Y,,2019-01-01
스무빌직장어린이집,경기도,양평군,직장,74,14,경기도 양평군 용문면 용문로 465,031-775-7955,031-775-7933,6,1,10,N,,2019-01-01
아이마당어린이집,경기도,양평군,민간,78,10,경기도 양평군 양평읍 삼산길 39,031-772-6358,031-773-4967,5,1,6,Y,,2019-01-01
양동어린이집,경기도,양평군,국공립,67,11,경기도 양평군 양동면 학둔지아래길 22 -1,031-773-1521,031-775-1522,6,1,4,Y,,2019-01-01
양평꼬마숲어린이집,경기도,양평군,민간,28,9,경기도 양평군 백운길 130-7 꼬마숲어린이집,031-774-3883,031-775-3881,4,1,6,Y,,2019-01-01
그린아이어린이집,경기도,양평군,가정,20,8,경기도 양평군 중앙로 14 102동 104호(그린아파트),031-771-1844,050-4180-0224,4,0,6,Y,,2019-01-01
꼬마대통령어린이집,경기도,양평군,가정,19,7,경기도 양평군 중앙로167번길 60 108동 103호(양평벽산블루밍 1단지),031-773-9998,031-773-9998,4,1,6,Y,,2019-01-01
이솝어린이집,경기도,양평군,민간,46,9,경기도 양평군 양평읍 장안길 1,031-771-6800,031-771-6397,5,1,6,Y,,2019-01-01
지평어린이집,경기도,양평군,국공립,70,12,경기도 양평군 지평면 지평의병로 73-2 지평어린이집,031-771-3211,031-772-3215,7,1,8,Y,,2019-01-01
키즈랜드어린이집,경기도,양평군,민간,65,10,경기도 양평군 시민로 117 키즈랜드어린이집,031-775-1159,030-3441-1159,5,1,6,Y,,2019-01-01
하늘채어린이집,경기도,양평군,민간,45,10,경기도 양평군 양평읍 중앙로167번길 60,031-774-2690,031-774-2690,5,1,6,Y,,2019-01-01
한빛어린이집,경기도,양평군,민간,39,6,경기도 양평군 양평읍 시민로128번길 22,031-774-1961,031-774-1961,3,0,6,Y,,2019-01-01
햇살아래어린이집,경기도,양평군,민간,65,9,경기도 양평군 옥천면 덕고갯길 33 (햇살아래어린이집),070-7782-2811,,4,1,6,Y,,2019-01-01
휴먼빌어린이집,경기도,양평군,민간,49,8,경기도 양평군 강상면 강남로 922 휴먼빌2차아파트 관리동 휴먼빌어린이집,031-775-7125,,5,1,6,Y,,2019-01-01
꿈꾸는아이들 어린이집,경기도,양평군,민간,97,19,경기도 양평군 양평읍 흥청길18번길 2,031-775-7585,031-775-7586,9,1,6,Y,,2019-01-01
백석어린이집,경기도,양평군,가정,20,8,경기도 양평군 중앙로167번길 107-1 백운빌라 102동 101호,031-774-9106,031-775-7902,4,0,6,Y,,2019-01-01
봄샘어린이집,경기도,양평군,민간,48,12,경기도 양평군 양평읍 중앙로167번길 62,031-774-4690,,5,1,6,Y,,2019-01-01
사랑나무어린이집,경기도,양평군,민간,125,15,경기도 양평군 용문면 그릇고갯길 90 사랑나무어린이집,031-771-6578,031-775-6578,9,1,14,Y,,2019-01-01
사랑어린이집,경기도,양평군,가정,18,5,경기도 양평군 두물머리길8번길 26-3 삼익아파트 105동 107호,031-774-2710,,4,1,6,N,,2019-01-01
새봄어린이집,경기도,양평군,민간,99,16,경기도 양평군 양평읍 중앙로 111 번길 99,031-773-5599,031-773-8799,8,1,11,Y,,2019-01-01
서종어린이집,경기도,양평군,국공립,74,13,경기도 양평군 북한강로 1098-20,031-775-7370,031-775-7371,6,1,11,Y,,2019-01-01
세종어린이집,경기도,양평군,민간,68,18,경기도 양평군 강상면 강남로814번길 54,031-771-6233,031-771-6202,7,1,6,Y,,2019-01-01
숲속나무어린이집,경기도,양평군,민간,75,10,경기도 양평군 강상면 신화길 69-27,031-775-3944,031-774-3994,10,1,6,Y,,2019-01-01
아이꿈터 어린이집,경기도,양평군,민간,95,14,경기도 양평군 용문면 연수로 32,031-771-1279,031-774-5279,7,1,6,Y,,2019-01-01
아이숲어린이집,경기도,양평군,민간,22,8,경기도 양평군 옥천문화마을3길 4 아이숲 어린이집,031-772-5009,,3,0,6,Y,,2019-01-01
양서어린이집,경기도,양평군,국공립,81,15,경기도 양평군 양서면 양수로 110 양서어린이집,031-772-2007,031-772-2007,6,1,10,Y,,2019-01-01
양평어린이집,경기도,양평군,국공립,157,26,경기도 양평군 양평읍 양근로137번길 18 (),031-771-3382,031-773-9303,12,1,18,N,,2019-01-01
강상어린이집,경기도,양평군,국공립,70,12,경기도 양평군 강상면 송학길 50,031-774-6060,031-774-6065,5,1,12,N,,2019-01-01
그림숲어린이집,경기도,양평군,가정,19,5,경기도 양평군 용담2길 17 302동 101호(푸르미빌),031-772-0252,,3,0,6,Y,,2019-01-01
엘림어린이집,경기도,양평군,민간,28,3,경기도 양평군 서종면 중미산로 323,031-774-0301,031-774-0764,3,0,6,Y,,2019-01-01
다솜어린이집,경기도,양평군,가정,14,2,경기도 양평군 관문길18번길 16 A동 105호(금광아파트 1차),031-775-9777,031-775-9777,4,0,6,N,,2019-01-01
들꽃어린이집,경기도,양평군,민간,69,10,경기도 양평군 서종면 중미산로78번길 14-11,031-771-3731,031-773-3734,5,1,8,Y,,2019-01-01
메르헨어린이집,경기도,양평군,민간,125,15,경기도 양평군 하진1길 28 (),031-775-5475,070-8650-4330,8,1,6,Y,http://cafe.naver.com/miji7746,2019-01-01
샛별어린이집,경기도,양평군,민간,66,12,경기도 양평군 서종면 중미산로 70-5 샛별어린이집,031-774-6330,031-774-6338,5,1,6,Y,,2019-01-01
사임당어린이집,경기도,여주시,민간,39,6,경기도 여주시 여흥로140번길 5,031-886-7722,031-884-6338,6,0,7,Y,,2019-03-29
산북어린이집,경기도,여주시,국공립,79,12,경기도 여주시 산북면 상품로 113-1,031-884-1815,031-881-1815,7,2,8,Y,,2019-03-29
새싹어린이집,경기도,여주시,가정,20,4,경기도 여주시 청심로 79 104동 101호,031-881-2209,031-881-2209,4,0,4,N,,2019-03-29
샛별어린이집,경기도,여주시,민간,49,6,경기도 여주시 여흥로25번길 13-7,031-885-3007,031-885-9007,2,1,8,Y,,2019-03-29
선재어린이집,경기도,여주시,사회복지법인,64,18,경기도 여주시 소양로 99 선재어린이집,031-886-7352,031-883-7352,5,1,14,N,,2019-03-29
세종어린이집,경기도,여주시,민간,110,19,경기도 여주시 여주읍 세종로475번길 26,031-883-5838,031-883-2616,8,2,13,Y,,2019-03-29
소현어린이집,경기도,여주시,민간,33,7,경기도 여주시 세종로46번길 12-2,031-884-8421,031-884-8421,3,3,4,Y,,2019-03-29
수어린이집,경기도,여주시,민간,21,7,경기도 여주시 신륵2길 17,031-884-0131,031-884-0136,4,0,4,N,,2019-03-29
심순어린이집,경기도,여주시,민간,55,6,경기도 여주시 점동면 청안리길 84-6,031-882-1799,031-882-1792,4,1,8,Y,,2019-03-29
아가랑어린이집,경기도,여주시,가정,19,5,"경기도 여주시 여주남로 61 101동 103호(월송동, 두풍아파트)",031-884-6584,031-884-6584,3,0,4,N,,2019-03-29
아기나무어린이집,경기도,여주시,민간,25,6,경기도 여주시 가남읍 경충대로 1472-34 동남아파트 관리동 1층 아기나무어린이집,031-884-7705,031-884-7705,4,1,5,N,,2019-03-29
아이나라어린이집,경기도,여주시,가정,20,6,경기도 여주시 청심로 207-57,031-883-3314,031-883-3314,3,0,4,Y,,2019-03-29
아이사랑어린이집,경기도,여주시,법인·단체,39,4,경기도 여주시 고달사로 485,031-882-8996,031-882-8996,3,1,5,Y,,2019-03-29
아이편한어린이집,경기도,여주시,가정,20,6,"경기도 여주시 도예로 83-60 105동 102호(현암동, 이편한세상아파트)",031-882-0220,031-882-0220,3,1,4,N,,2019-03-29
알곡어린이집,경기도,여주시,민간,30,4,경기도 여주시 흥천면 효자로 143,031-881-5588,031-881-5586,2,0,6,Y,,2019-03-29
여주시청직장어린이집,경기도,여주시,직장,55,10,경기도 여주시 청심로 121-15,031-882-1788,031-882-6766,7,1,12,N,,2019-03-29
연꽃어린이집,경기도,여주시,사회복지법인,98,13,경기도 여주시 소양로 99,031-884-0608,031-886-8380,6,2,14,N,,2019-03-29
예꼬어린이집,경기도,여주시,민간,39,9,경기도 여주시 여양로 341-13,031-886-4803,031-881-4820,4,2,8,Y,,2019-03-29
예림어린이집,경기도,여주시,민간,34,7,경기도 여주시 대신면 율촌2길 65,031-882-0815,031-882-0815,7,0,8,Y,,2019-03-29
예원어린이집,경기도,여주시,민간,39,3,경기도 여주시 능서면 능서로 114,031-883-5365,031-883-3713,4,0,7,Y,,2019-03-29
우리어린이집,경기도,여주시,민간,138,14,경기도 여주시 능서면 농도원1길 134,031-883-6767,031-883-6766,8,1,12,Y,,2019-03-29
이레어린이집,경기도,여주시,민간,30,6,경기도 여주시 세종로 61 현대아파트 관리동,031-885-5033,031-885-5033,3,0,4,Y,,2019-03-29
이안사랑어린이집,경기도,여주시,민간,27,7,경기도 여주시 도예로 40 이안아파트 관리동 1층,031-883-1347,031-883-1347,3,0,4,N,,2019-03-29
이화자연어린이집,경기도,여주시,민간,210,22,경기도 여주시 주내로 169-35,031-882-5772,031-886-5776,12,1,16,Y,,2019-03-29
작은천사어린이집,경기도,여주시,민간,78,7,경기도 여주시 현암2길 58-5,031-884-1279,031-884-1279,5,1,8,Y,,2019-03-29
조은어린이집,경기도,여주시,민간,39,6,경기도 여주시 흥천면 방죽안길 6 325-2번지,031-883-9151,031-883-9154,5,2,4,Y,,2019-03-29
포근한어린이집,경기도,여주시,가정,16,6,경기도 여주시 가남읍 경충대로 1162-20 106동 104호,031-884-1931,031-884-1931,3,0,4,N,,2019-03-29
풀잎어린이집,경기도,여주시,민간,39,6,경기도 여주시 평장길 54,031-885-1587,031-886-1587,4,1,5,Y,,2019-03-29
우리미어린이집,경기도,여주시,가정,20,6,경기도 여주시 학동2길 42 102동 102호(성일우리미아파트),031-884-3399,031-884-3399,3,1,4,N,,2019-03-29
기쁜어린이집,경기도,여주시,민간,92,9,경기도 여주시 대신면 여양로 1430-15,031-883-0117,031-882-2117,9,1,8,Y,,2019-03-29
꼬망어린이집,경기도,여주시,가정,19,5,경기도 여주시 여주남로 58-31 103동 101호 (보광그랑베르 아파트),031-886-1233,031-886-1239,3,0,4,Y,,2019-03-29
로뎀어린이집,경기도,여주시,민간,72,4,경기도 여주시 흥천면 금반형길 18,031-632-4282,031-634-4284,7,2,8,Y,,2019-03-29
리치빌어린이집,경기도,여주시,민간,31,6,경기도 여주시 가남읍 경충대로 1162-20 세광리치타운 관리동 2층,031-882-1930,031-882-1930,3,1,4,Y,,2019-03-29
백합어린이집,경기도,여주시,민간,39,6,경기도 여주시 청심로132번길 22,031-885-0691,031-886-6419,3,0,4,N,,2019-03-29
베베짐가정어린이집,경기도,여주시,가정,20,6,경기도 여주시 가남읍 경충대로 1472-23 201동 103호(현진에버빌2단지아파트),031-884-2859,031-884-2859,3,0,4,N,,2019-03-29
본석 어린이집,경기도,여주시,법인·단체,28,8,경기도 여주시 가남읍 본두3길 31-21,031-883-2291,031-883-2292,3,0,4,Y,,2019-03-29
사랑스런어린이집,경기도,여주시,가정,20,4,경기도 여주시 강변유원지길 22-35 (영진리버빌아파트) 107동 103호,031-885-3210,031-885-3212,4,0,4,N,,2019-03-29
상우어린이집,경기도,여주시,가정,20,4,"경기도 여주시 세종로 173-65 101동 106호(홍문리, 상우A)",031-886-9291,031-886-9297,3,0,4,N,,2019-03-29
서하어린이집,경기도,여주시,민간,38,11,"경기도 여주시 도예로 83-36 (오학동, 오드카운티 관리동)",031-886-8334,031-886-8334,4,0,6,Y,,2019-03-29
세광사랑어린이집,경기도,여주시,가정,16,3,경기도 여주시 가남읍 경충대로 1162-20 101동 103호(세광리치타운A),031-881-2232,031-881-2232,4,0,4,N,,2019-03-29
솔샘어린이집,경기도,여주시,가정,17,4,경기도 여주시 삼밭골길 34,031-884-5030,031-884-5022,4,0,4,Y,,2019-03-29
아이뜰어린이집,경기도,여주시,민간,99,13,경기도 여주시 가남읍 경충대로 1472-28,031-882-9652,031-882-9675,10,1,16,Y,,2019-03-29
아이숲 어린이집,경기도,여주시,민간,38,10,경기도 여주시 세종로 173-69 동원아파트 관리동 1층,031-881-2971,031-881-2972,4,0,5,N,,2019-03-29
에벤에셀어린이집,경기도,여주시,민간,35,5,경기도 여주시 북내면 여양2로 373-8,031-885-6913,031-885-6913,5,0,8,Y,,2019-03-29
여주어린이집,경기도,여주시,민간,80,12,경기도 여주시 세종로113번길 11-7,031-885-2210,031-885-2210,7,1,8,Y,,2019-03-29
열린사랑어린이집,경기도,여주시,가정,20,5,경기도 여주시 세종로 254-6 101동 106호 강남아파트,031-885-7338,031-883-7338,4,0,4,N,,2019-03-29
임당어린이집,경기도,여주시,민간,23,2,경기도 여주시 가남읍 대명산1길 26 임당어린이집,031-884-8990,031-884-8991,2,1,4,Y,,2019-03-29
제일어린이집,경기도,여주시,민간,145,18,경기도 여주시 가남읍 태평1길 12-8,031-882-0500,031-882-0121,11,2,16,Y,,2019-03-29
킹스키즈어린이집,경기도,여주시,가정,20,6,"경기도 여주시 세종로 253 102동 104호(교리, 삼성명가타운A)",031-885-8200,031-885-8200,3,0,4,N,,2019-03-29
오드키즈어린이집,경기도,여주시,가정,20,7,"경기도 여주시 도예로 83-36 110동 103호(오학동, 오드카운티아파트)",031-886-7110,031-886-7110,3,1,4,N,,2019-03-29
한빛어린이집,경기도,여주시,가정,20,6,경기도 여주시 학동2길 12 신도브래뉴아파트 관리동 1층,031-886-6001,031-886-6001,5,0,4,N,,2019-03-29
호반어린이집,경기도,여주시,민간,34,6,"경기도 여주시 세종로 254-16 108동 (교리, 호반리젠시빌아파트 관리동)",031-885-6413,031-885-6413,3,1,4,Y,,2019-03-29
아띠어린이집,경기도,여주시,가정,20,6,경기도 여주시 농산로 27 102동 104호 (세종그랑시아 아파트),031-882-7343,031-883-7343,3,0,4,Y,,2019-03-29
해님어린이집,경기도,여주시,민간,33,4,경기도 여주시 월평로 11,031-886-5484,031-886-5422,4,0,5,Y,,2019-03-29
귀여운어린이집,경기도,여주시,민간,200,24,경기도 여주시 세종로 173-45,031-884-2806,031-886-2806,11,1,16,Y,,2019-03-29
꼬마별어린이집,경기도,여주시,민간,23,7,경기도 여주시 강천면 이문안길 22,031-885-0010,031-885-1551,4,0,6,Y,,2019-03-29
꽃누리어린이집,경기도,여주시,가정,20,5,"경기도 여주시 도예로 83-36 103동 102호(오학동, 오드카운티아파트)",031-884-5056,031-883-2349,3,1,4,N,,2019-03-29
꿈이자라는 땅 어린이집,경기도,여주시,가정,20,5,경기도 여주시 여흥로160번길 49-22,031-882-2445,031-882-2446,3,0,4,N,,2019-03-29
꿈초롱어린이집,경기도,여주시,민간,49,9,경기도 여주시 여양로 335-10,031-886-5243,031-884-5243,6,0,8,Y,,2019-03-29
꿈터어린이집,경기도,여주시,민간,121,16,경기도 여주시 여양로 372-24,031-886-1080,031-886-1080,7,2,12,Y,,2019-03-29
능현어린이집,경기도,여주시,가정,16,2,경기도 여주시 명성로 92 능현어린이집,031-883-7066,031-884-7044,2,1,3,Y,,2019-03-29
다사랑어린이집,경기도,여주시,민간,39,4,경기도 여주시 산북면 남이고개길 4-1,031-884-4320,031-881-4324,4,0,5,Y,,2019-03-29
또래어린이집,경기도,여주시,민간,99,19,경기도 여주시 여흥로160번길 49-53,031-886-2766,031-886-2766,9,1,15,Y,,2019-03-29
로뎀나무어린이집,경기도,여주시,민간,77,11,경기도 여주시 가남읍 여주남로 948,031-882-0015,031-882-3558,8,1,9,Y,,2019-03-29
리라어린이집,경기도,여주시,민간,49,6,경기도 여주시 청심로166번길 3,031-886-4399,031-886-4399,6,1,8,Y,,2019-03-29
리틀엔젤스 어린이집,경기도,여주시,민간,24,5,경기도 여주시 가남읍 경충대로 1472-19 현진에버빌 관리실 1층,031-882-3393,031-881-5254,3,0,4,Y,,2019-03-29
범영어린이집,경기도,여주시,민간,150,19,경기도 여주시 경충대로 1287-8,031-884-7795,031-883-8318,13,1,17,Y,,2019-03-29
베이비아이누리어린이집,경기도,여주시,민간,99,23,경기도 여주시 세종로113번길 3-1,031-886-0121,031-886-0124,11,1,16,Y,,2019-03-29
베이비캐슬 어린이집,경기도,여주시,민간,20,8,경기도 여주시 여흥로140번길 3-4,031-886-7711,031-884-6338,4,0,4,N,,2019-03-29
사과나무어린이집,경기도,여주시,민간,106,15,경기도 여주시 여주읍 세종로517번길 35-13,031-885-1279,031-883-3562,7,1,13,Y,,2019-03-29
홍익어린이집,경기도,연천군,민간,33,6,경기도 연천군 전곡읍 밤골로 13,031-832-2472,,3,0,5,Y,,2023-04-18
한아름어린이집,경기도,연천군,직장,15,9,경기도 연천군 전곡읍 평화로673번길 61 한아름아파트 13동 106호,031-835-7222,031-835-7223,3,0,5,N,,2023-04-18
예일어린이집,경기도,연천군,가정,20,7,"경기도 연천군 전곡읍 전곡로 24 103동 103호(전곡리, 전곡예일세띠앙아파트)",031-835-5124,,3,0,4,Y,,2023-04-18
연천아이파크어린이집,경기도,연천군,직장,60,13,경기도 연천군 연천읍 평화로 1239,031-834-4860,031-834-4861,6,2,16,N,,2023-04-18
전곡주공어린이집,경기도,연천군,국공립,29,11,"경기도 연천군 전곡읍 밤골로 6 104동 1층(전곡리, 휴먼시아)",031-832-6767,031-833-6767,4,0,8,N,,2023-04-18
태풍어린이집,경기도,연천군,직장,15,7,경기도 연천군 전곡읍 평화로699번길 22 5102동 104호,031-833-2824,,3,0,6,N,,2023-04-18
연천어린이집,경기도,연천군,국공립,77,18,경기도 연천군 연천읍 문화로 173,031-834-0131,031-834-9407,9,2,23,Y,,2023-04-18
예빛어린이집,경기도,연천군,민간,38,10,경기도 연천군 전곡로161번길 13,031-832-6710,031-832-6710,4,0,6,Y,,2023-04-18
예쁜꿈어린이집,경기도,연천군,가정,20,7,"경기도 연천군 전곡읍 전곡로 24 102동 101호(전곡리, 전곡예일세띠앙아파트)",031-832-7002,031-832-7002,4,0,4,Y,,2023-04-18
예쁜어린이집,경기도,연천군,민간,62,9,경기도 연천군 전곡읍 평화로698번길 12-11,031-835-8654,,6,1,10,Y,,2023-04-18
왕징어린이집,경기도,연천군,국공립,35,6,경기도 연천군 왕징면 왕산로 48,031-833-2202,031-833-2203,4,1,9,Y,,2023-04-18
임진어린이집,경기도,연천군,사회복지법인,85,13,경기도 연천군 군남면 진상17길 104-1 임진어린이집,031-833-5398,031-833-7433,6,1,8,Y,,2023-04-18
전곡어린이집,경기도,연천군,국공립,49,12,경기도 연천군 은전로 47,031-832-5553,031-832-6553,5,1,8,Y,,2023-04-18
조이기쁨어린이집,경기도,연천군,민간,45,9,경기도 연천군 전곡로75번길 39  -3,031-832-8950,031-833-8950,5,1,7,Y,,2023-04-18
청산어린이집,경기도,연천군,국공립,49,11,경기도 연천군 학담로 143,031-835-2009,031-835-5793,4,1,10,Y,,2023-04-18
푸르미어린이집,경기도,연천군,직장,60,13,경기도 연천군 전곡읍 평화로673번길 61,031-833-6789,031-833-6789,5,1,10,N,,2023-04-18
미롱이어린이집,경기도,연천군,국공립,49,9,경기도 연천군 차현로 58,031-834-3233,031-834-3245,4,1,6,Y,,2023-04-18
백학꿈나무어린이집,경기도,연천군,국공립,64,14,경기도 연천군 백학면 두일로 113,031-835-5975,031-835-5975,6,1,18,Y,,2023-04-18
꿈별어린이집,경기도,연천군,가정,20,7,경기도 연천군 전곡읍 전은길 24 101동 103호(명정아파트),031-832-0501,031-832-0503,3,1,4,Y,,2023-04-18
명정어린이집,경기도,연천군,가정,18,8,"경기도 연천군 전곡읍 전은길 24 102동 108호(전곡리, 명정아파트)",031-832-8205,,4,0,4,Y,,2023-04-18
신나는어린이집,경기도,연천군,민간,35,9,경기도 연천군 전곡읍 전영로 35,031-832-8392,,4,0,6,Y,,2023-04-18
아기사랑어린이집,경기도,연천군,가정,19,6,경기도 연천군 연천읍 연천로 366,031-834-4183,031-834-4183,3,0,4,Y,,2023-04-18
석미어린이집,경기도,연천군,가정,20,7,"경기도 연천군 전곡읍 선사로 415 102동 108호(전곡리, 전곡석미한아름아파트)",031-835-0677,,4,0,4,Y,,2023-04-18
꼬마천사어린이집,경기도,오산시,가정,20,5,"경기도 오산시 오산로160번길 14 102동 101호(원동, 대림E-편한세상1단지아파트)",031-373-6279,031-373-6279,3,0,4,N,,2020-05-01
자이사랑어린이집,경기도,오산시,가정,20,6,"경기도 오산시 부산중앙로 42 307동 101호(부산동, 오산시티자이2차아파트)",031-377-0933,031-377-0933,3,0,4,N,,2020-05-01
자이숲어린이집,경기도,오산시,가정,20,5,"경기도 오산시 부산중앙로 11 105-101(부산동, 시티자이아파트)",031-373-9433,031-373-9433,3,0,4,N,,2020-05-01
좋은아이어린이집,경기도,오산시,가정,20,3,경기도 오산시 청학로147번길 61-1 좋은아이 어린이집 (수청동),031-375-5393,031-375-5393,3,0,3,Y,,2020-05-01
즐거운어린이집,경기도,오산시,가정,20,5,"경기도 오산시 수목원로 615 110동 102호(세교동, 잔다리마을 1단지아파트)",031-375-0717,,4,0,4,N,,2020-05-01
지움어린이집,경기도,오산시,민간,117,15,경기도 오산시 누읍로46번길 21 (누읍동 626-2),031-378-7400,,9,3,17,Y,,2020-05-01
취국제1어린이집,경기도,오산시,민간,48,10,경기도 오산시 운암로 90 주공 3단지 복지관내 (부산동),031-372-2535,031-372-2535,4,0,4,N,,2020-05-01
코코가베어린이집,경기도,오산시,가정,20,6,"경기도 오산시 운암로 63 104동 102호(오산동, 현대아파트)",031-373-5928,031-373-5928,3,0,4,N,,2020-05-01
큰사랑어린이집,경기도,오산시,가정,20,6,"경기도 오산시 운암로 89 204동 101호(오산동, 운암주공2단지아파트)",031-375-1423,031-375-1423,4,0,4,N,,2020-05-01
키즈맘어린이집,경기도,오산시,가정,20,6,경기도 오산시 누읍로46번길 25 (누읍동),031-372-2050,,3,0,4,N,,2020-05-01
키즈청호어린이집,경기도,오산시,민간,138,18,경기도 오산시 남부대로441번길 17-1,031-668-5557,031-611-3558,10,2,16,Y,,2020-05-01
토마토어린이집,경기도,오산시,가정,20,4,"경기도 오산시 가수로 33 105동 102호(가수동, 늘푸른오스카빌)",031-374-4177,031-374-4177,4,0,4,N,,2020-05-01
푸른하늘어린이집,경기도,오산시,가정,9,3,"경기도 오산시 밀머리로1번길 3 206동 105호(원동, 주공아파트)",070-7818-8805,031-377-1254,3,0,3,N,,2020-05-01
피카소어린이집,경기도,오산시,민간,36,8,경기도 오산시 수청로 31 우미이노스빌아파트 관리동내 (수청동),031-376-6888,070-4623-6889,6,0,5,Y,,2020-05-01
하늘땅어린이집,경기도,오산시,가정,20,6,"경기도 오산시 동부대로 332-14 111동 102호(청호동, 오산자이아파트)",031-668-7914,031-663-7914,3,0,5,N,,2020-05-01
하늘숲어린이집,경기도,오산시,가정,20,6,"경기도 오산시 오산로 91-5 101동 104호(갈곶동, 한솔솔파크)",070-4137-5653,031-373-5053,4,0,4,N,,2020-05-01
하비어린이집,경기도,오산시,가정,20,7,"경기도 오산시 오산로132번길 10 207동 104호(원동, 대림E-편한세상2단지아파트)",031-8050-2393,031-8050-2393,4,0,4,N,,2020-05-01
한주창의 어린이집,경기도,오산시,가정,20,7,"경기도 오산시 동부대로 429-9 105동 101호(원동, 한주아파트)",031-373-2714,031-373-2714,3,0,4,N,,2020-05-01
해맑은아이들어린이집,경기도,오산시,가정,20,4,"경기도 오산시 오산로 29 101동 101호(갈곶동, 화남아파트)",031-372-7966,,3,0,4,N,,2020-05-01
해소년어린이집,경기도,오산시,가정,20,1,경기도 오산시 남부대로 411-15 대우푸르지오아파트 관리동 (원동),031-377-8815,031-000-0000,3,0,3,N,,2020-05-01
영재어린이집,경기도,오산시,가정,20,7,"경기도 오산시 양산로 460 104동 103호(양산동, 오산세마E편한세상)",031-8050-9372,031-8050-9372,3,0,4,N,,2020-05-01
예다솜어린이집,경기도,오산시,가정,20,4,"경기도 오산시 수목원로 615 114-104(세교동, 잔다리마을 1단지 아파트)",031-377-9826,,4,0,4,N,,2020-05-01
예뜰어린이집,경기도,오산시,가정,20,4,경기도 오산시 수목원로 430 휴먼시아꿈에그린아파트 1306동 102호,031-8043-1012,031-8043-1012,4,0,4,N,,2020-05-01
예쁜아이어린이집,경기도,오산시,가정,20,3,경기도 오산시 경기대로 78-7 현대힐스테이트아파트 관리사무소1층 (원동),031-376-1267,,3,0,4,N,,2020-05-01
예사랑어린이집,경기도,오산시,가정,18,6,"경기도 오산시 문시로 183-19 103동 106호(외삼미동, 서동탄역더샵파크시티)",031-8058-5094,,3,0,5,N,,2020-05-01
예크어린이집,경기도,오산시,가정,20,6,"경기도 오산시 수목원로 615 108-104(세교동, 잔다리마을 1단지아파트)",031-377-2040,031-377-2011,4,0,4,N,,2020-05-01
우남어린이집,경기도,오산시,가정,20,5,"경기도 오산시 대호로 146 109동 102호(궐동, 우남퍼스트빌)",031-373-8040,,3,0,4,N,,2020-05-01
우미숲속어린이집,경기도,오산시,가정,20,8,"경기도 오산시 수청로 31 105동 103호(수청동, 우미이노스빌)",031-378-4291,,4,0,4,N,,2020-05-01
운암비테에어린이집,경기도,오산시,가정,20,9,"경기도 오산시 운암로 45 405동 101호(오산동, 운암주공4단지아파트)",031-372-8355,031-372-8355,3,0,4,N,cafe.naver.com/qlxpdp,2020-05-01
은파어린이집,경기도,오산시,민간,20,4,경기도 오산시 오산로 49-5 경기도 오산시 오산로49-5KCC 스위첸 단지내 보육시설,031-377-9480,,3,0,3,N,,2020-05-01
